Step,Value
0.0,0.8067770600318909
2.0,0.11503682285547256
4.0,-0.8409919142723083
6.0,-1.9094291925430298
8.0,-3.016841173171997
10.0,-4.117795467376709
12.0,-5.181640625
14.0,-6.187666893005371
16.0,-7.1229047775268555
18.0,-7.980663299560547
20.0,-8.759146690368652
22.0,-9.460124969482422
24.0,-10.087745666503906
26.0,-10.647555351257324
28.0,-11.145787239074707
30.0,-11.588828086853027
32.0,-11.98291015625
34.0,-12.333883285522461
36.0,-12.647123336791992
38.0,-12.927471160888672
40.0,-13.17924690246582
42.0,-13.406246185302734
44.0,-13.611794471740723
46.0,-13.798781394958496
48.0,-13.969718933105469
50.0,-14.126748085021973
52.0,-14.271738052368164
54.0,-14.406270027160645
56.0,-14.531722068786621
58.0,-14.649250030517578
60.0,-14.759860038757324
62.0,-14.86439037322998
64.0,-14.96358871459961
66.0,-15.058065414428711
68.0,-15.148356437683105
70.0,-15.234928131103516
72.0,-15.318169593811035
74.0,-15.398406982421875
76.0,-15.475959777832031
78.0,-15.551058769226074
80.0,-15.623909950256348
82.0,-15.694716453552246
84.0,-15.76364803314209
86.0,-15.830835342407227
88.0,-15.896400451660156
90.0,-15.960468292236328
92.0,-16.023128509521484
94.0,-16.084484100341797
96.0,-16.14456558227539
98.0,-16.203495025634766
100.0,-16.26129913330078
102.0,-16.31805419921875
104.0,-16.373796463012695
106.0,-16.42858123779297
108.0,-16.482446670532227
110.0,-16.535438537597656
112.0,-16.587574005126953
114.0,-16.638887405395508
116.0,-16.689453125
118.0,-16.739229202270508
120.0,-16.788291931152344
122.0,-16.836650848388672
124.0,-16.88433265686035
126.0,-16.93135643005371
128.0,-16.977739334106445
130.0,-17.02352523803711
132.0,-17.068689346313477
134.0,-17.113277435302734
136.0,-17.15728759765625
138.0,-17.20075225830078
140.0,-17.243690490722656
142.0,-17.286123275756836
144.0,-17.328020095825195
146.0,-17.369436264038086
148.0,-17.410377502441406
150.0,-17.45084571838379
152.0,-17.490856170654297
154.0,-17.530424118041992
156.0,-17.56955337524414
158.0,-17.60826301574707
160.0,-17.64655303955078
162.0,-17.6844425201416
164.0,-17.721925735473633
166.0,-17.759050369262695
168.0,-17.795778274536133
170.0,-17.832136154174805
172.0,-17.868125915527344
174.0,-17.90377426147461
176.0,-17.939071655273438
178.0,-17.97401237487793
180.0,-18.00864028930664
182.0,-18.042932510375977
184.0,-18.076913833618164
186.0,-18.110584259033203
188.0,-18.14393424987793
190.0,-18.176998138427734
192.0,-18.209760665893555
194.0,-18.242231369018555
196.0,-18.274423599243164
198.0,-18.306333541870117
