Step,Value
0.0,0.5672665238380432
2.0,-1.8599518537521362
4.0,-5.075717926025391
6.0,-8.40759563446045
8.0,-11.496724128723145
10.0,-14.191993713378906
12.0,-16.47258758544922
14.0,-18.372997283935547
16.0,-19.944055557250977
18.0,-21.23720359802246
20.0,-22.29909324645996
22.0,-23.16990089416504
24.0,-23.88370704650879
26.0,-24.468774795532227
28.0,-24.948287963867188
30.0,-25.341846466064453
32.0,-25.664939880371094
34.0,-25.93067741394043
36.0,-26.149856567382812
38.0,-26.330717086791992
40.0,-26.48061180114746
42.0,-26.605178833007812
44.0,-26.708881378173828
46.0,-26.7960147857666
48.0,-26.869600296020508
50.0,-26.931625366210938
52.0,-26.984996795654297
54.0,-27.030364990234375
56.0,-27.070127487182617
58.0,-27.1048641204834
60.0,-27.1353702545166
62.0,-27.162879943847656
64.0,-27.18768882751465
66.0,-27.21002197265625
68.0,-27.230802536010742
70.0,-27.250110626220703
72.0,-27.267980575561523
74.0,-27.285390853881836
76.0,-27.301546096801758
78.0,-27.31721305847168
80.0,-27.3323917388916
82.0,-27.347187042236328
84.0,-27.361587524414062
86.0,-27.37559700012207
88.0,-27.389314651489258
90.0,-27.402860641479492
92.0,-27.415990829467773
94.0,-27.42941665649414
96.0,-27.442419052124023
98.0,-27.455352783203125
100.0,-27.46822166442871
102.0,-27.480907440185547
104.0,-27.49386978149414
106.0,-27.506410598754883
108.0,-27.51887321472168
110.0,-27.531387329101562
112.0,-27.543703079223633
114.0,-27.556310653686523
116.0,-27.568708419799805
118.0,-27.580913543701172
120.0,-27.59304428100586
122.0,-27.605337142944336
124.0,-27.617433547973633
126.0,-27.62969398498535
128.0,-27.641754150390625
130.0,-27.65397834777832
132.0,-27.66611671447754
134.0,-27.678049087524414
136.0,-27.689908981323242
138.0,-27.702045440673828
140.0,-27.713603973388672
142.0,-27.7260799407959
144.0,-27.737592697143555
146.0,-27.749521255493164
148.0,-27.76137351989746
150.0,-27.77325439453125
152.0,-27.7847957611084
154.0,-27.796886444091797
156.0,-27.808504104614258
158.0,-27.820167541503906
160.0,-27.831867218017578
162.0,-27.84334373474121
164.0,-27.85472297668457
166.0,-27.86614990234375
168.0,-27.87793731689453
170.0,-27.88930320739746
172.0,-27.900835037231445
174.0,-27.91214942932129
176.0,-27.923757553100586
178.0,-27.934879302978516
180.0,-27.946495056152344
182.0,-27.957691192626953
184.0,-27.96897315979004
186.0,-27.980100631713867
188.0,-27.99140739440918
190.0,-28.002607345581055
192.0,-28.013973236083984
194.0,-28.025035858154297
196.0,-28.036069869995117
198.0,-28.047136306762695
200.0,-28.058242797851562
202.0,-28.06916618347168
204.0,-28.08034324645996
206.0,-28.091350555419922
208.0,-28.102596282958984
